t,X,Y,Z
0.032,311,302,1.006616
0.04,310,302,1.006771
0.073,310,302,1.006843
0.106,310,301,1.006522
0.139,311,297,1.006888
0.173,314,292,1.009233
0.206,319,283,1.012147
0.239,325,267,1.01464
0.281,328,245,1.015313
0.308,329,241,1.02016
0.338,335,219,1.033298
0.372,338,218,1.047509
0.408,349,187,1.052082
0.438,348,185,1.059873
0.474,342,188,1.086879
0.509,341,189,1.095534
0.54,346,178,1.115481
0.577,346,176,1.120514
0.607,346,173,1.129449
0.641,348,169,1.139408
0.676,356,149,1.159543
0.708,356,148,1.162092
0.741,357,147,1.168212
0.776,359,146,1.174595
0.808,359,147,1.178753
0.842,359,147,1.181892
0.874,360,148,1.184347
0.91,361,150,1.185752
0.942,367,149,1.187007
0.979,367,160,1.181774
1.009,368,163,1.177227
1.04,374,167,1.170956
1.076,377,176,1.155863
1.107,382,186,1.142768
1.142,388,191,1.136303
1.178,395,200,1.120155
1.206,397,212,1.10557
1.242,422,212,1.087497
1.275,426,225,1.080406
1.309,431,236,1.074094
1.341,435,247,1.066882
1.378,448,254,1.057224
1.408,457,262,1.052917
1.444,459,267,1.050005
1.476,462,277,1.048345
1.507,464,283,1.04705
1.542,465,289,1.046188
1.576,465,292,1.045302
1.608,465,293,1.044191
1.643,465,294,1.043163
1.675,458,296,1.040748
1.708,451,295,1.039353
1.741,441,293,1.039703
1.775,451,287,1.036209
1.809,413,279,1.037993
1.843,411,277,1.039205
1.875,388,283,1.058003
1.909,384,282,1.060005
1.941,370,275,1.066454
1.974,356,262,1.067839
2.011,340,244,1.071988
2.043,338,244,1.074867
2.075,332,241,1.083099
2.112,345,266,1.116555
2.142,350,262,1.128111
2.175,349,262,1.135381
2.208,348,263,1.142939
2.242,344,256,1.142858
2.274,343,257,1.129505
2.309,344,253,1.136517
2.342,341,256,1.136731
2.374,341,256,1.136056
2.408,342,256,1.135715
2.443,342,256,1.136546
2.474,320,176,1.114718
2.51,343,257,1.137107
2.544,343,258,1.137099
2.576,344,259,1.137513
2.61,344,259,1.137946
2.641,326,211,1.127087
2.674,326,212,1.12664
2.709,326,212,1.126484
2.743,324,215,1.124842
2.774,307,232,1.121815
2.81,307,232,1.121798
2.842,312,220,1.122282
2.875,322,218,1.119578
2.908,322,218,1.119516
2.946,319,215,1.119417
2.974,320,213,1.119745
3.01,321,213,1.119046
3.042,322,213,1.118374
3.076,321,212,1.118351
3.111,321,211,1.118194
3.144,323,213,1.116729
3.177,322,215,1.116019
3.211,324,217,1.115251
3.243,321,213,1.115054
3.278,320,215,1.114816
3.311,321,217,1.114625
3.343,322,218,1.114541
3.376,322,218,1.114511
3.412,322,218,1.114464
3.442,318,218,1.114586
3.478,317,218,1.114526
3.511,317,219,1.114557
3.548,319,219,1.114326
3.577,320,219,1.114179
3.613,320,219,1.114156
3.644,315,218,1.113556
3.677,317,218,1.113266
3.711,317,219,1.113078
3.744,318,219,1.112782
3.777,316,221,1.112586
3.81,322,191,1.100263
3.844,322,190,1.099885
3.878,324,190,1.09877
3.91,331,190,1.096494
3.944,337,218,1.110751
3.978,338,176,1.099044
4.012,344,187,1.095194
4.042,368,183,1.085242
4.078,352,188,1.08937
4.111,361,217,1.110822
4.144,364,217,1.111469
4.177,372,221,1.112984
4.211,395,212,1.115716
4.245,398,211,1.116677
4.282,422,192,1.11704
4.31,425,193,1.119976
4.345,461,194,1.142073
4.38,431,235,1.219893
4.411,435,237,1.223286
4.447,438,238,1.22526
4.48,444,238,1.221915
4.513,446,239,1.226709
4.546,450,249,1.232001
4.584,451,243,1.231501
4.611,452,244,1.232715
4.647,453,244,1.233021
4.679,453,245,1.232431
4.713,453,245,1.231727
4.744,480,217,1.167068
4.78,478,218,1.162856
4.811,476,217,1.152847
4.846,470,220,1.140436
4.88,464,222,1.131159
4.911,459,224,1.122196
4.946,456,225,1.110062
4.98,434,238,1.085696
5.01,418,248,1.076599
5.046,410,254,1.066804
5.079,400,257,1.054537
5.112,392,250,1.027598
5.145,369,254,1.01081
5.183,356,280,1.127738
5.212,340,291,1.021348
5.248,339,292,1.019348
5.279,332,300,1.014034
5.309,325,305,1.010538
5.345,318,308,1.007524
5.38,313,311,1.007542
5.412,310,312,1.007104
5.445,309,312,1.006738
5.48,309,311,1.006665
5.517,309,309,1.006207
5.546,313,303,1.006144
5.581,317,296,1.007849
5.614,320,290,1.012396
5.652,328,270,1.012366
5.679,326,270,1.02235
5.716,334,239,1.02368
5.745,338,221,1.027109
5.779,337,224,1.04303
5.812,338,221,1.054904
5.848,339,219,1.068813
5.878,355,178,1.086099
5.914,356,178,1.094345
5.947,356,177,1.109687
5.98,357,174,1.123249
6.013,359,171,1.134068
6.047,361,168,1.146066
6.079,361,166,1.154211
6.112,361,164,1.160828
6.149,363,163,1.165046
6.178,364,163,1.167606
6.214,365,163,1.168691
6.246,367,165,1.168217
6.279,369,169,1.163486
6.313,374,177,1.152969
6.346,379,186,1.141266
6.379,385,186,1.129868
6.417,395,196,1.107382
6.447,396,214,1.097093
6.48,421,215,1.075966
6.514,421,232,1.069172
6.549,434,244,1.053576
6.579,444,248,1.033983
6.619,458,275,1.033086
6.649,464,285,1.029582
6.68,468,293,1.024514
6.714,470,313,1.028612
6.746,470,315,1.027963
6.782,468,320,1.028056
6.82,467,322,1.027599
6.846,466,323,1.027173
6.884,466,323,1.026645
6.916,464,324,1.030727
6.946,453,323,1.02973
6.983,437,309,1.015876
7.016,431,305,1.014634
7.048,423,298,1.014119
7.083,409,283,1.012188
7.114,402,278,1.015593
7.147,369,282,1.039486
7.18,357,274,1.043287
7.219,345,261,1.048473
7.246,335,247,1.055769
7.284,327,246,1.066717
7.315,337,223,1.049494
7.349,335,221,1.06029
7.381,331,217,1.080179
7.419,330,215,1.093643
7.447,287,193,1.064381
7.486,308,150,1.128783
7.518,291,182,1.165047
7.55,291,180,1.144844
7.58,291,180,1.1423
7.619,290,178,1.142122
7.647,291,177,1.141515
7.682,291,177,1.141459
7.715,292,176,1.141493
7.747,338,141,1.169994
7.781,308,143,1.131274
7.815,308,143,1.130394
7.849,308,143,1.131617
7.881,307,143,1.130097
7.914,307,144,1.129347
7.948,307,146,1.127416
7.984,306,147,1.126853
8.015,294,178,1.137701
8.05,312,147,1.088652
8.083,312,147,1.09412
8.115,312,147,1.098973
