t,X,Y,Z
2.786,405,210,1.110605
2.816,409,202,1.112371
2.848,421,201,1.118936
2.881,430,201,1.1256
2.914,440,201,1.132871
2.947,449,202,1.141438
2.984,459,201,1.149022
3.015,467,203,1.156032
3.047,474,203,1.163465
3.081,481,205,1.16974
3.115,483,203,1.171112
3.147,487,203,1.173415
3.181,490,203,1.175688
3.216,492,203,1.177159
3.247,493,205,1.177838
3.281,494,205,1.177283
3.316,495,206,1.176228
3.348,494,207,1.17279
3.382,494,208,1.167523
3.414,491,211,1.158573
3.45,489,212,1.148232
3.484,485,213,1.136286
3.517,476,216,1.119904
3.549,473,216,1.107828
3.584,463,221,1.092834
3.616,442,229,1.069813
3.65,436,233,1.063491
3.683,422,240,1.049025
3.716,404,251,1.039613
3.749,398,251,1.033786
3.783,374,248,1.007328
3.816,343,279,1.019712
3.849,338,286,1.021981
3.883,338,286,1.019924
3.916,335,288,1.014644
3.949,332,279,1.037326
3.982,323,294,1.006508
4.015,317,299,1.006197
4.049,313,301,1.006492
4.083,311,302,1.006616
4.115,310,302,1.006771
4.148,310,302,1.006843
4.183,310,301,1.006522
4.216,311,297,1.006888
4.249,314,292,1.009233
4.284,319,283,1.012147
4.315,325,267,1.01464
4.35,328,245,1.015313
4.386,329,241,1.02016
4.418,335,219,1.033298
4.45,338,218,1.047509
4.484,349,187,1.052082
4.517,348,185,1.059873
4.55,342,188,1.086879
4.584,341,189,1.095535
4.617,346,178,1.115481
4.655,346,176,1.120514
4.685,346,173,1.129449
4.717,348,169,1.139408
4.753,356,149,1.159544
4.784,356,148,1.162092
4.816,357,147,1.168212
4.851,359,146,1.174595
4.888,359,147,1.178753
4.917,359,147,1.181892
4.951,360,148,1.184347
4.984,361,150,1.185752
5.017,367,149,1.187007
5.05,367,160,1.181774
5.083,368,163,1.177227
5.12,374,167,1.170956
5.152,377,176,1.155863
5.185,382,186,1.142768
5.218,388,191,1.136303
5.251,395,200,1.120155
5.284,397,212,1.10557
5.317,422,212,1.087497
5.35,426,225,1.080406
5.383,431,236,1.074094
5.416,435,247,1.066882
5.452,448,254,1.057224
5.483,457,262,1.052917
5.518,459,267,1.050005
5.553,462,277,1.048345
5.584,464,283,1.04705
5.618,465,289,1.046188
5.651,465,292,1.045302
