t,X,Y,Z
0.035,317,299,1.005811
0.054,314,301,1.006321
0.086,314,301,1.006442
0.119,313,301,1.006569
0.155,312,301,1.006688
0.185,312,302,1.006782
0.218,311,302,1.006881
0.251,311,301,1.007132
0.287,312,299,1.007895
0.32,315,292,1.009768
0.353,320,274,1.012295
0.387,324,261,1.015047
0.419,329,240,1.022067
0.453,334,227,1.030044
0.485,335,217,1.037865
0.522,337,209,1.045695
0.553,337,202,1.056624
0.589,339,192,1.074007
0.62,343,181,1.091425
0.654,345,173,1.104804
0.687,347,167,1.116414
0.725,349,161,1.127243
0.757,352,154,1.142469
0.786,354,148,1.154117
0.822,355,143,1.164077
0.855,357,139,1.173003
0.89,359,137,1.181787
0.924,359,135,1.18956
0.956,361,134,1.196157
0.988,362,134,1.201385
1.023,364,135,1.205359
1.056,366,139,1.205491
1.087,368,144,1.203027
1.122,370,151,1.198152
1.154,373,159,1.187753
1.187,377,170,1.172611
1.221,381,180,1.159802
1.255,387,191,1.143629
1.289,395,200,1.126925
1.322,405,210,1.108768
1.357,415,221,1.091439
1.386,423,232,1.077653
1.42,432,242,1.065432
1.455,441,252,1.054055
1.488,450,261,1.044483
1.52,458,270,1.036741
1.556,464,278,1.03038
1.586,470,286,1.02509
1.621,475,292,1.02082
1.655,476,301,1.021244
1.687,477,308,1.021141
1.72,477,314,1.021683
1.754,476,316,1.023118
1.788,472,317,1.025494
1.82,465,316,1.02902
1.858,446,309,1.034428
1.891,432,302,1.037989
1.924,421,296,1.040609
1.954,409,289,1.043185
1.99,394,283,1.049918
2.026,381,279,1.055741
2.055,367,271,1.061926
2.09,349,260,1.068626
2.125,338,252,1.07367
2.155,327,246,1.078824
