t,X,Y,Z
4.17,423,294,0.8420746
4.199,428,267,0.833279
4.235,430,261,0.8315806
4.269,431,256,0.8309475
4.303,432,253,0.8308447
4.334,433,250,0.8310689
4.369,433,249,0.831449
4.402,434,248,0.8320296
4.435,435,247,0.8328561
4.469,435,251,0.8352559
4.501,437,255,0.8378639
4.535,437,255,0.8397584
4.57,439,259,0.8430061
4.602,443,266,0.8470433
4.633,446,273,0.8503965
4.673,449,278,0.8530889
4.702,451,282,0.8551169
4.734,453,284,0.8564712
4.769,453,287,0.857471
4.801,454,288,0.858152
4.833,455,289,0.8586454
4.871,455,290,0.8589894
4.905,456,290,0.859195
4.935,456,290,0.8592737
4.969,457,291,0.8591169
5.004,458,292,0.8588238
5.037,458,292,0.8586667
5.07,458,292,0.8585
5.104,458,292,0.8582472
5.137,458,291,0.8579488
5.169,457,291,0.8575856
5.201,457,290,0.8571856
5.24,456,290,0.8567274
5.273,455,290,0.8562682
5.3,455,289,0.8557836
5.337,454,289,0.8553159
5.368,453,288,0.8548841
5.401,453,288,0.8545052
5.438,453,287,0.8541682
5.469,453,287,0.853835
5.501,452,286,0.8535362
5.537,451,286,0.8532581
5.569,451,285,0.85303
5.603,450,285,0.852815
5.637,450,285,0.8526114
5.669,449,284,0.8524073
5.701,449,284,0.8522148
5.741,448,284,0.8520446
5.769,447,284,0.851903
5.8,447,283,0.8517943
5.836,446,283,0.8517154
5.87,445,283,0.8516546
5.904,445,283,0.8516064
5.938,444,283,0.8515661
5.968,444,283,0.8515307
6,444,282,0.8514969
6.038,444,282,0.851464
6.071,443,282,0.8514332
6.104,443,282,0.8514031
6.137,442,282,0.8513747
6.169,442,282,0.8513463
6.199,442,282,0.8513188
6.239,441,281,0.8512068
6.268,441,281,0.851089
6.304,441,281,0.8509698
6.339,440,281,0.8508533
6.368,440,280,0.8507422
6.404,440,279,0.8506377
6.436,439,279,0.8505401
6.468,439,278,0.8504497
6.503,439,278,0.85037
6.534,438,278,0.8504173
6.568,438,278,0.8505014
6.604,438,278,0.8506238
6.635,438,278,0.8508682
6.668,438,278,0.8510861
6.704,438,279,0.8514206
6.738,439,279,0.8520349
6.77,441,278,0.8527635
6.803,444,277,0.8537813
6.835,448,278,0.855108
6.868,453,278,0.856392
6.906,458,277,0.8576406
6.938,463,276,0.8587741
6.97,468,276,0.8597889
7.003,471,275,0.8606602
7.035,475,275,0.8613837
7.069,478,274,0.8619757
7.104,479,274,0.8624501
7.134,450,294,1.127556
7.167,437,304,1.221951
7.203,449,301,1.10077
7.236,462,298,1.00826
7.269,475,291,0.9458315
7.303,483,286,0.9084815
7.335,488,282,0.8854879
7.367,491,280,0.8708111
7.406,494,277,0.8610748
7.439,494,276,0.8545984
7.468,493,274,0.8498961
7.503,490,274,0.8465092
7.537,486,275,0.8464347
7.571,476,277,0.8467042
7.603,470,274,0.8445384
7.635,464,272,0.8422124
7.671,458,269,0.8398473
7.705,452,266,0.8375485
7.735,446,264,0.8354666
7.771,441,261,0.8336304
7.803,436,259,0.8320559
7.834,432,257,0.8307427
7.872,428,256,0.8296757
7.904,426,256,0.828819
7.935,423,255,0.8281329
7.971,421,254,0.8275853
8.004,419,254,0.8271492
8.034,418,253,0.8268008
8.071,418,253,0.8265209
8.103,417,253,0.8262939
8.134,416,252,0.8261108
8.17,415,252,0.8259658
8.202,415,252,0.8258539
8.236,415,252,0.8257715
8.274,415,252,0.8257147
8.304,414,252,0.8256732
8.334,414,252,0.8256202
8.372,415,252,0.8255575
8.405,416,252,0.825502
8.435,417,251,0.8254744
8.47,419,251,0.825527
8.502,422,251,0.8257227
8.535,426,251,0.8261136
8.571,431,251,0.8267624
8.603,435,251,0.8276834
8.634,442,252,0.8289682
8.671,447,252,0.8304499
8.702,452,253,0.8320938
8.739,457,253,0.8338201
8.772,461,254,0.8355015
8.805,465,254,0.8370855
8.838,468,255,0.8385113
8.871,470,255,0.8397624
8.906,473,255,0.8408273
8.939,473,264,0.8449787
8.971,473,270,0.8482125
9.003,473,274,0.8507996
9.038,473,279,0.8528208
9.071,473,281,0.8543129
9.103,473,284,0.8553386
9.139,472,286,0.8560005
9.171,473,284,0.8551245
9.206,470,288,0.8560537
9.238,470,284,0.8540599
9.271,468,281,0.8515264
9.302,465,277,0.8487064
9.34,462,272,0.845822
9.372,460,269,0.8429405
9.405,456,265,0.840156
9.44,452,262,0.8375322
9.47,447,259,0.8350988
9.502,443,256,0.8329147
9.539,438,255,0.8310288
9.572,434,254,0.829428
9.603,429,253,0.8280942
9.638,426,252,0.827006
9.671,422,251,0.826133
9.702,418,251,0.8254451
9.738,417,251,0.8249086
9.77,414,251,0.8244925
9.801,413,250,0.8241693
9.838,411,250,0.8239208
9.87,410,250,0.8237342
9.903,409,250,0.8236035
9.94,409,250,0.8235148
9.97,409,250,0.8234601
10.006,409,250,0.8234235
10.039,409,250,0.8234019
10.07,409,250,0.8234019
10.108,410,250,0.8234393
10.138,411,249,0.8235372
10.17,413,249,0.8237016
10.208,416,249,0.8239323
10.238,418,249,0.8242661
10.272,421,249,0.8246779
10.308,425,249,0.8251398
10.338,428,249,0.8256136
10.37,431,249,0.8260709
10.408,434,250,0.8264943
10.438,436,250,0.8268687
10.47,438,250,0.8271906
10.507,440,250,0.8274628
10.539,441,251,0.8276903
10.57,443,251,0.8278776
10.607,444,251,0.828027
10.638,444,251,0.8281416
10.671,444,251,0.8282211
10.708,445,251,0.8282645
10.738,445,251,0.8282786
10.771,446,251,0.8282778
10.806,446,251,0.8282665
10.838,446,251,0.8282138
10.873,446,251,0.8280795
10.907,445,251,0.827843
10.938,445,251,0.8274893
10.97,444,251,0.8269737
11.005,444,250,0.8265808
11.04,442,250,0.8260961
11.07,439,251,0.8251712
11.107,432,255,0.8235123
11.139,426,258,0.8220737
11.171,422,259,0.8209546
11.205,415,269,0.8246301
11.24,408,281,0.8278403
11.276,405,285,0.8302281
11.308,404,289,0.8323177
11.341,402,292,0.8341323
11.378,402,294,0.835704
11.41,401,296,0.8370619
11.44,401,298,0.8382438
11.476,401,299,0.8392776
11.509,401,299,0.8401831
11.539,401,300,0.84098
11.576,401,301,0.8416843
11.608,401,302,0.8423116
11.641,401,302,0.8428739
11.677,401,303,0.8433814
11.708,401,303,0.8438377
11.742,401,304,0.844255
11.777,401,304,0.8446378
11.811,401,305,0.8449918
11.841,401,305,0.8453215
11.876,401,305,0.8456296
11.908,401,306,0.8459169
11.943,401,306,0.8461841
11.977,401,306,0.8464343
12.007,401,306,0.8466685
12.039,401,306,0.8468871
12.076,401,307,0.8470915
12.11,401,307,0.8472819
12.142,401,307,0.847459
12.176,401,307,0.8476248
12.208,401,307,0.8477771
12.24,401,307,0.8479207
12.276,401,307,0.8480574
12.311,401,308,0.8481874
12.339,401,308,0.8483112
12.376,401,308,0.8484308
12.41,401,308,0.8485462
