t,X,Y,Z
3.97,397,260,0.9917107
4.009,397,261,0.9924475
4.034,397,261,0.992569
4.067,397,261,0.9926613
4.109,397,261,0.992742
4.135,397,261,0.9928495
4.166,397,261,0.9929978
4.204,397,261,0.9932136
4.234,397,261,0.9934937
4.266,397,261,0.9938143
4.305,394,268,0.9983671
4.335,390,274,1.002632
4.369,373,337,1.018337
4.402,361,364,1.028013
4.433,353,379,1.03319
4.464,350,387,1.036294
4.501,347,391,1.0382
4.532,345,395,1.03942
4.564,344,397,1.040231
4.603,343,398,1.040762
4.632,343,398,1.041093
4.664,343,399,1.041285
4.71,343,398,1.041381
4.733,343,398,1.041425
4.766,343,398,1.041434
4.802,343,398,1.041427
4.832,343,397,1.041415
4.865,343,397,1.041419
4.902,343,396,1.041468
4.933,343,396,1.041577
4.974,343,395,1.041738
5.005,343,395,1.041928
5.033,343,395,1.04215
5.07,343,394,1.042435
5.106,343,394,1.042804
5.133,342,394,1.043278
5.17,342,393,1.043878
5.203,342,393,1.044715
5.234,341,393,1.045618
5.27,341,393,1.04613
5.302,341,393,1.046667
5.339,341,393,1.047262
5.371,341,393,1.047894
5.4,341,393,1.048568
5.432,342,394,1.049314
5.468,342,394,1.050128
5.5,342,394,1.051001
5.532,342,395,1.051945
5.581,343,395,1.052925
5.607,343,395,1.053957
5.635,343,395,1.055004
5.673,343,395,1.056031
5.704,343,395,1.057075
5.733,343,396,1.058107
5.77,343,396,1.059136
5.8,343,396,1.060128
5.833,343,396,1.061095
5.87,343,396,1.062018
5.9,343,396,1.062937
5.933,343,395,1.063832
5.97,343,395,1.064706
6,342,394,1.066036
6.034,340,393,1.067201
6.074,340,392,1.068251
6.1,340,391,1.068731
6.132,340,391,1.069273
6.169,340,389,1.069929
6.202,341,389,1.069972
6.237,341,388,1.069904
6.271,342,387,1.069264
6.3,342,386,1.068213
6.34,345,387,1.066115
6.37,347,385,1.061408
6.401,348,385,1.058237
6.442,350,384,1.05517
6.468,350,383,1.052645
6.5,351,383,1.050357
6.539,352,382,1.048433
6.569,352,381,1.046685
6.6,352,381,1.04501
6.64,352,380,1.043331
6.668,352,380,1.041613
6.7,353,377,1.034055
6.736,353,376,1.03177
6.769,353,375,1.029906
6.8,353,375,1.028312
6.837,353,374,1.026886
6.868,363,369,0.9934678
6.9,382,365,0.9490266
6.939,397,362,0.9196808
6.967,406,361,0.9006673
7,412,360,0.8882712
7.036,416,360,0.88003
7.071,418,360,0.8745236
7.1,420,360,0.8707378
7.139,421,360,0.8680581
7.168,423,360,0.8661301
7.2,423,360,0.8648688
7.235,423,360,0.8639278
7.268,423,361,0.8632207
7.299,423,361,0.862662
7.336,423,362,0.8622129
7.372,423,362,0.8618248
7.404,422,363,0.8614975
7.44,422,364,0.8612157
7.47,422,364,0.8609645
7.506,422,365,0.8607498
7.539,421,365,0.8605795
7.571,421,366,0.8604413
7.607,421,367,0.8603628
7.636,420,368,0.8603556
7.672,420,369,0.8603598
7.706,419,369,0.8605663
7.739,419,370,0.860837
7.771,418,371,0.8614879
7.805,417,372,0.8623472
7.84,416,373,0.86412
7.869,415,375,0.8665838
